mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3
1	1	0	0	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	0				
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	1				
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	2				
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	3				
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	4				
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	5				
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	6				
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	7				
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	8				
2	2	5	5	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6	b	
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	9				
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	4	
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	10				
2	2	7	7	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	5	h	
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	11				
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	12				
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	13				
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	14				
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	h		
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	15				
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	16				
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	17				
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	18				
4	4	15	15	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6	b	
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	19				
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	20				
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	21				
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	22				
5	5	16	16	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	6	4	
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	23				
5	5	17	17	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	5	h	
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	24				
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	25				
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	26				
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	27				
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	28				
6	6	20	20	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	b		
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	29				
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	30				
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	31				
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	32				
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	33				
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	34				
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	35				
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	36				
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	37				
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	38				
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	39				
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	40				
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	41				
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	42				
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	43				
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	44				
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	45				
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	46				
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	47				
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	5	b
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	48				
9	9	35	35	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	h		
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	49				
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	50				
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	51				
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	52				
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	53				
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	54				
11	11	40	40	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	b		
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	55				
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	56				
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	57				
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	58				
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	59				
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	60				
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	61				
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	62				
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	63				
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	64				
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	65				
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	6		
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	66				
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	67				
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	68				
13	13	51	51	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6		
